name,year,Domestic Gross,Overseas Gross,Worldwide Gross
Thor: The Dark World,2013,"206,362,140","438,421,000","644,783,140"
Moana,2016/I,"248,757,044","394,574,067","643,331,111"
Kung Fu Panda,2008,"215,434,591","418,000,000","633,434,591"
The Incredibles,2004,"261,441,092","371,600,000","633,041,092"
The Martian,2015,"228,433,663","400,847,620","629,281,283"
Fast Five,2011,"209,837,675","416,300,000","626,137,675"
Hancock,2008,"227,946,274","396,440,472","624,386,746"
Men in Black 3,2012,"179,020,854","445,005,922","624,026,776"
Iron Man 2,2010,"312,433,331","311,500,000","623,933,331"
Ratatouille,2007,"206,445,654","417,277,164","623,722,818"
How to Train Your Dragon 2,2014,"177,002,924","444,534,595","621,537,519"
The Lost World: Jurassic Park,1997,"229,086,679","389,552,320","618,638,999"
Logan,2017,"226,277,068","389,948,866","616,225,934"
Deadpool 2,2018,"324,469,609","291,600,000","616,069,609"
The Boss Baby,2017,"175,001,663","439,016,701","614,018,364"
The Passion of the Christ,2004,"370,782,930","241,116,490","611,899,420"
Mamma Mia!,2008,"144,130,063","465,711,574","609,841,637"
Life of Pi,2012,"124,987,023","484,029,542","609,016,565"
Madagascar: Escape 2 Africa,2008,"180,010,950","423,889,404","603,900,354"
Transformers: The Last Knight,2017,"130,168,683","471,000,000","601,168,683"
Casino Royale,2006,"167,445,960","426,793,106","594,239,066"
Tangled,2010,"200,821,936","390,973,000","591,794,936"
War of the Worlds,2005,"234,280,354","357,465,186","591,745,540"
Men in Black,1997,"250,690,539","338,700,000","589,390,539"
The Croods,2013,"187,168,425","400,036,243","587,204,668"
The Hangover Part II,2011,"254,464,305","332,300,000","586,764,305"
Quantum of Solace,2008,"168,368,427","417,722,300","586,090,727"
I Am Legend,2007,"256,386,216","328,962,794","585,349,010"
Iron Man,2008,"318,412,101","266,800,000","585,212,101"
Night at the Museum,2006,"250,863,268","323,617,573","574,480,841"
Fifty Shades of Grey,2015,"166,167,230","404,838,898","571,006,128"
Coco,2017/I,"210,371,015","359,000,000","569,371,015"
Jurassic World: Fallen Kingdom,2018,"416,769,345","151,100,000","567,869,345"
Kong: Skull Island,2017,"168,052,812","398,100,000","566,152,812"
Mission: Impossible - Fallout,2018,"220,159,104","344,800,000","564,959,104"
The Smurfs,2011,"142,614,158","421,135,165","563,749,323"
"Monsters, Inc.",2001,"289,916,256","272,900,000","562,816,256"
Cars 2,2011,"191,452,396","368,400,000","559,852,396"
Jumanji: Welcome to the Jungle,2017,"404,508,916","153,000,000","557,508,916"
Armageddon,1998,"201,600,000","355,000,000","556,600,000"
Puss in Boots,2011,"149,260,504","405,726,973","554,987,477"
Mei ren yu,2016,"3,232,685","550,577,543","553,810,228"
King Kong,2005,"218,080,025","332,437,332","550,517,357"
Ant-Man and the Wasp,2018,"216,648,740","333,000,000","549,648,740"
Ted,2012,"218,815,487","330,552,828","549,368,315"
American Sniper,2014,"350,126,372","197,200,000","547,326,372"
Mission: Impossible II,2000,"215,409,889","330,978,216","546,388,105"
Sherlock Holmes: A Game of Shadows,2011,"187,573,200","358,600,000","546,173,200"
The Day After Tomorrow,2004,"186,740,799","357,531,603","544,272,402"
X-Men: Apocalypse,2016,"155,442,489","388,492,298","543,934,787"
Cinderella,2015/I,"201,151,353","342,363,000","543,514,353"
Despicable Me,2010,"251,513,985","291,600,000","543,113,985"
World War Z,2013,"202,359,711","337,648,165","540,007,876"
Brave,2012,"237,283,207","301,700,000","538,983,207"
Star Wars: Episode V - The Empire Strikes Back,1980,"290,475,067","247,916,602","538,391,669"
WALL·E,2008,"223,808,164","310,959,725","534,767,889"
Home Alone,1990,"285,761,243","248,000,000","533,761,243"
The Revenant,2015,"183,637,894","349,288,091","532,925,985"
Madagascar,2005,"193,595,521","339,085,150","532,680,671"
Godzilla,2014,"200,676,069","328,400,000","529,076,069"
The Simpsons Movie,2007,"183,135,014","343,610,123","526,745,137"
Sherlock Holmes,2009,"209,028,679","315,000,000","524,028,679"
Spider-Man: Far from Home,2019,"390,532,085","133,464,523","523,996,608"
Dunkirk,2017,"190,068,280","333,000,000","523,068,280"
Kung Fu Panda 3,2016,"143,528,619","377,642,206","521,170,825"
Terminator 2: Judgment Day,1991,"204,843,350","315,000,000","519,843,350"
Ant-Man,2015,"180,202,163","339,243,000","519,445,163"
Meet the Fockers,2004,"279,261,160","237,381,779","516,642,939"
Ghost,1990,"217,631,306","290,000,000","507,631,306"
Aladdin,1992,"217,350,219","286,700,000","504,050,219"
Thor: Love and Thunder,2022,"343,231,017","159,000,000","502,231,017"
Rio 2,2014,"131,538,435","368,650,000","500,188,435"
Troy,2004,"133,378,256","364,031,596","497,409,852"
How to Train Your Dragon,2010,"217,581,231","277,297,528","494,878,759"
Twister,1996,"241,721,524","252,750,000","494,471,524"
Teenage Mutant Ninja Turtles,2014,"191,204,754","302,128,830","493,333,584"
Oz the Great and Powerful,2013,"234,911,825","258,400,000","493,311,825"
Clash of the Titans,2010,"163,214,888","330,000,105","493,214,993"
War for the Planet of the Apes,2017,"146,880,162","341,123,137","488,003,299"
Rio,2011,"143,619,809","343,900,000","487,519,809"
Angels & Demons,2009,"133,375,846","352,554,970","485,930,816"
